Date,Open,High,Low,Close,Adj Close,Volume
20-Jan-16,1138,1160.6,1101,1150.75,1137.69,1308420
21-Jan-16,1155,1163.4,1132.2,1138.7,1139.95,817263
22-Jan-16,1142.5,1205,1140.85,1198.9,1183.27,752594
25-Jan-16,1206,1218.05,1174.2,1178.3,1194.74,825020
27-Jan-16,1179.4,1197.8,1150.2,1176.7,1178.6,1058358
28-Jan-16,1177.5,1213.35,1177.5,1204.15,1200.41,673808
29-Jan-16,1212,1240,1202.3,1233.25,1229.12,1017079
1-Feb-16,1226,1238.4,1207.85,1226.35,1227.55,513986
2-Feb-16,1227.95,1241.3,1200,1206.65,1225.37,516447
3-Feb-16,1194.8,1228,1190,1203,1209.43,521244
4-Feb-16,1208,1221.9,1189,1204.5,1209.28,443944
5-Feb-16,1204,1223.3,1194.65,1219.5,1208.85,645003
8-Feb-16,1228,1237.7,1193.9,1201.75,1222.11,521327
9-Feb-16,1191,1216.8,1178,1183.2,1195.41,379697
10-Feb-16,1180,1201.95,1161.45,1182.3,1177.96,616640
11-Feb-16,1177,1181,1117.95,1126.6,1147.18,691493
12-Feb-16,1126.5,1178.55,1091.25,1165.25,1129.81,2466984
15-Feb-16,1163,1230.95,1161.6,1226.8,1209.22,746837
16-Feb-16,1229,1240.4,1200.15,1206.05,1214.76,599372
17-Feb-16,1208,1208,1185.5,1200.4,1197.6,539755
18-Feb-16,1212.5,1222.95,1188.35,1213.6,1206.85,703405
19-Feb-16,1210,1248.8,1201.45,1230.25,1234.75,680669
22-Feb-16,1232,1249,1231.8,1237.05,1240.13,550750
23-Feb-16,1237,1241.1,1203.7,1208.7,1223.34,854753
24-Feb-16,1200,1224,1194.7,1218.6,1213.59,642074
25-Feb-16,1217.25,1242.65,1217.05,1229.05,1227.88,1292553
26-Feb-16,1238,1247.85,1227.95,1230.05,1235.75,888921
29-Feb-16,1224.2,1269,1215.05,1228.1,1239.12,1713933
1-Mar-16,1217.25,1279.7,1208.1,1268.1,1254.62,1585994
2-Mar-16,1270,1270,1189.65,1199.15,1220.56,2487883
3-Mar-16,1212,1228.3,1200.35,1215.35,1218.52,1064441
4-Mar-16,1215,1229,1210.55,1216.35,1218.75,701406
8-Mar-16,1225,1234,1214.95,1219.4,1222.21,729909
9-Mar-16,1214.9,1238,1211.2,1235.55,1227.89,881134
10-Mar-16,1232,1247.4,1221,1226.35,1231.19,658279
11-Mar-16,1218.6,1235.65,1216,1220.5,1223.47,676925
14-Mar-16,1230,1235.95,1205,1212.05,1217.5,712860
15-Mar-16,1214.9,1217.25,1197.6,1205.05,1204.95,640507
16-Mar-16,1204.9,1215,1184,1212.1,1198.68,485495
17-Mar-16,1219.1,1225,1190,1198.45,1210.72,657864
18-Mar-16,1200.1,1227.2,1195,1222.55,1216.74,834726
21-Mar-16,1229,1230,1216.15,1227.95,1225.62,493453
22-Mar-16,1230,1265.85,1222,1253.15,1252.27,963967
23-Mar-16,1255,1261.8,1242.3,1249.35,1250.65,795657
28-Mar-16,1262,1266,1237.3,1243.85,1249.9,1167776
29-Mar-16,1240.2,1253.2,1227.35,1232.25,1239.83,971179
30-Mar-16,1244,1248.85,1215.7,1219.75,1225.69,1828226
31-Mar-16,1219,1226.8,1204,1210.7,1212.39,2567673
1-Apr-16,1206.7,1207.4,1188,1195.2,1193.46,2491811
4-Apr-16,1197.45,1249.4,1186.7,1245.9,1218.57,1449113
5-Apr-16,1245.9,1247.75,1214.2,1215.7,1229.21,490961
6-Apr-16,1220,1236.9,1214.6,1220.35,1223.28,626584
7-Apr-16,1224.9,1234,1209,1212.65,1221.46,412031
